Topic,Group,Interest Subcategory,Interest Item,National Org,National Org Description,National Org Description Spanish,National Org Link,Local Org,Local Org Description,Local Org Description Spanish,Local Org Link,Local Org 2,Local Org 2 Description,Local Org 2 Description Spanish,Local Org 2 Link,Local Org 3,Local Org 3 Description,Local Org 3 Description Spanish,Local Org 3 Link
Build Green Communities,Sports or Rec Group,Being Active & Outdoors,Sports,Habitat for Humanity,"Volunteer to help build affordable, sustainable housing in your community.",Participa de forma voluntaria para ayudar a construir viviendas económicas y sostenibles en tu comunidad.,https://www.habitat.org/,Depave,"Help remove pavement and create green spaces for healthier, more climate-resilient communities.",Ayuda a remover el pavimento y a crear espacios verdes para lograr comunidades más saludables y resilientes al clima.,https://depave.org/,Tualatin Riverkeepers,"Join cleanups, restoration projects, and advocacy efforts to protect and restore the Tualatin River and its watershed.","Únete a limpiezas, proyectos de restauración y esfuerzos de defensa para proteger y restaurar el río Tualatin y su cuenca hidrográfica.",https://tualatinriverkeepers.org/,Outdoor Afro,"Join local outings that celebrate and inspire Black leadership in nature through hiking, stewardship, and community events.","Únete a salidas locales que celebran e inspiran el liderazgo de la comunidad negra en la naturaleza a través del senderismo, la gestión responsable y eventos comunitarios.",https://outdoorafro.org/
Build Green Communities,Sports or Rec Group,Being Active & Outdoors,Exploring Outside,Habitat for Humanity,"Volunteer to help build affordable, sustainable housing in your community.",Participa de forma voluntaria para ayudar a construir viviendas económicas y sostenibles en tu comunidad.,https://www.habitat.org/,Depave,"Help remove pavement and create green spaces for healthier, more climate-resilient communities.",Ayuda a remover el pavimento y a crear espacios verdes para lograr comunidades más saludables y resilientes al clima.,https://depave.org/,Tualatin Riverkeepers,"Join cleanups, restoration projects, and advocacy efforts to protect and restore the Tualatin River and its watershed.","Únete a limpiezas, proyectos de restauración y esfuerzos de defensa para proteger y restaurar el río Tualatin y su cuenca hidrográfica.",https://tualatinriverkeepers.org/,Outdoor Afro,"Join local outings that celebrate and inspire Black leadership in nature through hiking, stewardship, and community events.","Únete a salidas locales que celebran e inspiran el liderazgo de la comunidad negra en la naturaleza a través del senderismo, la gestión responsable y eventos comunitarios.",https://outdoorafro.org/
Build Green Communities,Arts or Hobbies Group,Being Active & Outdoors,Sports,Habitat for Humanity,"Volunteer to help build affordable, sustainable housing in your community.",Participa de forma voluntaria para ayudar a construir viviendas económicas y sostenibles en tu comunidad.,https://www.habitat.org/,Depave,"Help remove pavement and create green spaces for healthier, more climate-resilient communities.",Ayuda a remover el pavimento y a crear espacios verdes para lograr comunidades más saludables y resilientes al clima.,https://depave.org/,Friends of Trees,"Plant and care for urban trees, restore natural areas, and build climate resilience in your community.","Planta y cuida árboles urbanos, restaura áreas naturales y desarrolla resiliencia climática en tu comunidad.",https://friendsoftrees.org/,Outdoor Afro,"Join local outings that celebrate and inspire Black leadership in nature through hiking, stewardship, and community events.","Únete a salidas locales que celebran e inspiran el liderazgo de la comunidad negra en la naturaleza a través del senderismo, la gestión responsable y eventos comunitarios.",https://outdoorafro.org/
Build Green Communities,Arts or Hobbies Group,Being Active & Outdoors,Exploring Outside,Habitat for Humanity,"Volunteer to help build affordable, sustainable housing in your community.",Participa de forma voluntaria para ayudar a construir viviendas económicas y sostenibles en tu comunidad.,https://www.habitat.org/,Depave,"Help remove pavement and create green spaces for healthier, more climate-resilient communities.",Ayuda a remover el pavimento y a crear espacios verdes para lograr comunidades más saludables y resilientes al clima.,https://depave.org/,Friends of Trees,"Plant and care for urban trees, restore natural areas, and build climate resilience in your community.","Planta y cuida árboles urbanos, restaura áreas naturales y desarrolla resiliencia climática en tu comunidad.",https://friendsoftrees.org/,Outdoor Afro,"Join local outings that celebrate and inspire Black leadership in nature through hiking, stewardship, and community events.","Únete a salidas locales que celebran e inspiran el liderazgo de la comunidad negra en la naturaleza a través del senderismo, la gestión responsable y eventos comunitarios.",https://outdoorafro.org/
Build Green Communities,School or Career Group,Being Active & Outdoors,Sports,Habitat for Humanity,"Volunteer to help build affordable, sustainable housing in your community.",Participa de forma voluntaria para ayudar a construir viviendas económicas y sostenibles en tu comunidad.,https://www.habitat.org/,Depave,"Help remove pavement and create green spaces for healthier, more climate-resilient communities.",Ayuda a remover el pavimento y a crear espacios verdes para lograr comunidades más saludables y resilientes al clima.,https://depave.org/,Friends of Trees,"Plant and care for urban trees, restore natural areas, and build climate resilience in your community.","Planta y cuida árboles urbanos, restaura áreas naturales y desarrolla resiliencia climática en tu comunidad.",https://friendsoftrees.org/,Outdoor Afro,"Join local outings that celebrate and inspire Black leadership in nature through hiking, stewardship, and community events.","Únete a salidas locales que celebran e inspiran el liderazgo de la comunidad negra en la naturaleza a través del senderismo, la gestión responsable y eventos comunitarios.",https://outdoorafro.org/
Build Green Communities,School or Career Group,Being Active & Outdoors,Exploring Outside,Habitat for Humanity,"Volunteer to help build affordable, sustainable housing in your community.",Participa de forma voluntaria para ayudar a construir viviendas económicas y sostenibles en tu comunidad.,https://www.habitat.org/,Depave,"Help remove pavement and create green spaces for healthier, more climate-resilient communities.",Ayuda a remover el pavimento y a crear espacios verdes para lograr comunidades más saludables y resilientes al clima.,https://depave.org/,Friends of Trees,"Plant and care for urban trees, restore natural areas, and build climate resilience in your community.","Planta y cuida árboles urbanos, restaura áreas naturales y desarrolla resiliencia climática en tu comunidad.",https://friendsoftrees.org/,Outdoor Afro,"Join local outings that celebrate and inspire Black leadership in nature through hiking, stewardship, and community events.","Únete a salidas locales que celebran e inspiran el liderazgo de la comunidad negra en la naturaleza a través del senderismo, la gestión responsable y eventos comunitarios.",https://outdoorafro.org/
Build Green Communities,Family or Household,Being Active & Outdoors,Sports,Habitat for Humanity,"Volunteer to help build affordable, sustainable housing in your community.",Participa de forma voluntaria para ayudar a construir viviendas económicas y sostenibles en tu comunidad.,https://www.habitat.org/,Depave,"Help remove pavement and create green spaces for healthier, more climate-resilient communities.",Ayuda a remover el pavimento y a crear espacios verdes para lograr comunidades más saludables y resilientes al clima.,https://depave.org/,Friends of Trees,"Plant and care for urban trees, restore natural areas, and build climate resilience in your community.","Planta y cuida árboles urbanos, restaura áreas naturales y desarrolla resiliencia climática en tu comunidad.",https://friendsoftrees.org/,Outdoor Afro,"Join local outings that celebrate and inspire Black leadership in nature through hiking, stewardship, and community events.","Únete a salidas locales que celebran e inspiran el liderazgo de la comunidad negra en la naturaleza a través del senderismo, la gestión responsable y eventos comunitarios.",https://outdoorafro.org/
Build Green Communities,Family or Household,Being Active & Outdoors,Exploring Outside,Habitat for Humanity,"Volunteer to help build affordable, sustainable housing in your community.",Participa de forma voluntaria para ayudar a construir viviendas económicas y sostenibles en tu comunidad.,https://www.habitat.org/,Depave,"Help remove pavement and create green spaces for healthier, more climate-resilient communities.",Ayuda a remover el pavimento y a crear espacios verdes para lograr comunidades más saludables y resilientes al clima.,https://depave.org/,Friends of Trees,"Plant and care for urban trees, restore natural areas, and build climate resilience in your community.","Planta y cuida árboles urbanos, restaura áreas naturales y desarrolla resiliencia climática en tu comunidad.",https://friendsoftrees.org/,Outdoor Afro,"Join local outings that celebrate and inspire Black leadership in nature through hiking, stewardship, and community events.","Únete a salidas locales que celebran e inspiran el liderazgo de la comunidad negra en la naturaleza a través del senderismo, la gestión responsable y eventos comunitarios.",https://outdoorafro.org/
Build Green Communities,Community Group,Being Active & Outdoors,Sports,Habitat for Humanity,"Volunteer to help build affordable, sustainable housing in your community.",Participa de forma voluntaria para ayudar a construir viviendas económicas y sostenibles en tu comunidad.,https://www.habitat.org/,Depave,"Help remove pavement and create green spaces for healthier, more climate-resilient communities.",Ayuda a remover el pavimento y a crear espacios verdes para lograr comunidades más saludables y resilientes al clima.,https://depave.org/,Friends of Trees,"Plant and care for urban trees, restore natural areas, and build climate resilience in your community.","Planta y cuida árboles urbanos, restaura áreas naturales y desarrolla resiliencia climática en tu comunidad.",https://friendsoftrees.org/,Outdoor Afro,"Join local outings that celebrate and inspire Black leadership in nature through hiking, stewardship, and community events.","Únete a salidas locales que celebran e inspiran el liderazgo de la comunidad negra en la naturaleza a través del senderismo, la gestión responsable y eventos comunitarios.",https://outdoorafro.org/
Build Green Communities,Community Group,Being Active & Outdoors,Exploring Outside,Habitat for Humanity,"Volunteer to help build affordable, sustainable housing in your community.",Participa de forma voluntaria para ayudar a construir viviendas económicas y sostenibles en tu comunidad.,https://www.habitat.org/,Depave,"Help remove pavement and create green spaces for healthier, more climate-resilient communities.",Ayuda a remover el pavimento y a crear espacios verdes para lograr comunidades más saludables y resilientes al clima.,https://depave.org/,Friends of Trees,"Plant and care for urban trees, restore natural areas, and build climate resilience in your community.","Planta y cuida árboles urbanos, restaura áreas naturales y desarrolla resiliencia climática en tu comunidad.",https://friendsoftrees.org/,Outdoor Afro,"Join local outings that celebrate and inspire Black leadership in nature through hiking, stewardship, and community events.","Únete a salidas locales que celebran e inspiran el liderazgo de la comunidad negra en la naturaleza a través del senderismo, la gestión responsable y eventos comunitarios.",https://outdoorafro.org/
Build Green Communities,Faith-Based Group,Being Active & Outdoors,Sports,GreenFaith,Take part in global interfaith campaigns that unite moral leadership with grassroots climate action.,Participa en campañas globales  interreligiosas que unen el liderazgo moral con la acción climática comunitaria.,https://greenfaith.org/,Ecumenical Ministries of Oregon (EMO),Advance climate justice and resilience through faith-based networks and Creation Justice programs.,Promueve la justicia climática y la resiliencia a través de redes religiosas y programas de Creation Justice.,https://emoregon.org/creation-justice/,Friends of Trees,"Plant and care for urban trees, restore natural areas, and build climate resilience in your community.","Planta y cuida árboles urbanos, restaura áreas naturales y desarrolla resiliencia climática en tu comunidad.",https://friendsoftrees.org/,Outdoor Afro,"Join local outings that celebrate and inspire Black leadership in nature through hiking, stewardship, and community events.","Únete a salidas locales que celebran e inspiran el liderazgo de la comunidad negra en la naturaleza a través del senderismo, la gestión responsable y eventos comunitarios.",https://outdoorafro.org/
Build Green Communities,Faith-Based Group,Being Active & Outdoors,Exploring Outside,GreenFaith,Take part in global interfaith campaigns that unite moral leadership with grassroots climate action.,Participa en campañas globales  interreligiosas que unen el liderazgo moral con la acción climática comunitaria.,https://greenfaith.org/,Ecumenical Ministries of Oregon (EMO),Advance climate justice and resilience through faith-based networks and Creation Justice programs.,Promueve la justicia climática y la resiliencia a través de redes religiosas y programas de Creation Justice.,https://emoregon.org/creation-justice/,Friends of Trees,"Plant and care for urban trees, restore natural areas, and build climate resilience in your community.","Planta y cuida árboles urbanos, restaura áreas naturales y desarrolla resiliencia climática en tu comunidad.",https://friendsoftrees.org/,Outdoor Afro,"Join local outings that celebrate and inspire Black leadership in nature through hiking, stewardship, and community events.","Únete a salidas locales que celebran e inspiran el liderazgo de la comunidad negra en la naturaleza a través del senderismo, la gestión responsable y eventos comunitarios.",https://outdoorafro.org/
