Designator,Mid X,Mid Y,Rotation,Layer,Comment,Package,LCSC Part Number
C1,21.59,0,270,Top,10 uF,SMD_CAPACITORS_0603,C1691
C2,-3.81,0,270,Top,10 uF,SMD_CAPACITORS_0603,C1691
C3,-29.21,0,270,Top,10 uF,SMD_CAPACITORS_0603,C1691
LED1,0.13,-21.65,180,Top,WS2812B3535,LED3535,C527089
LED10,12.32,21.46,0,Top,WS2812B3535,LED3535,C527089
LED11,0,21.59,0,Top,WS2812B3535,LED3535,C527089
LED12,-12.45,21.59,0,Top,WS2812B3535,LED3535,C527089
LED13,-25.02,21.65,0,Top,WS2812B3535,LED3535,C527089
LED14,-37.28,19.55,24,Top,WS2812B3535,LED3535,C527089
LED15,-46.58,11.58,57,Top,WS2812B3535,LED3535,C527089
LED16,-50.03,-0.04,90,Top,WS2812B3535,LED3535,C527089
LED17,-46.47,-11.73,123,Top,WS2812B3535,LED3535,C527089
LED18,-37.19,-19.61,157,Top,WS2812B3535,LED3535,C527089
LED19,-24.89,-21.59,180,Top,WS2812B3535,LED3535,C527089
LED2,12.7,-21.65,180,Top,WS2812B3535,LED3535,C527089
LED20,-12.45,-21.59,180,Top,WS2812B3535,LED3535,C527089
LED3,25.15,-21.46,180,Top,WS2812B3535,LED3535,C527089
LED4,37.34,-19.65,205,Top,WS2812B3535,LED3535,C527089
LED5,46.62,-11.54,240,Top,WS2812B3535,LED3535,C527089
LED6,50.01,0.24,270,Top,WS2812B3535,LED3535,C527089
LED7,46.45,11.86,305,Top,WS2812B3535,LED3535,C527089
LED8,36.96,19.68,335,Top,WS2812B3535,LED3535,C527089
LED9,24.77,21.59,0,Top,WS2812B3535,LED3535,C527089
R1,-26.67,11.43,0,Top,330,SMD_RESISTOR_0805,C17630
U$3,0,0.06,0,Top,SS39ET,SOT95P280X140-3N,C41364879
U$4,-25.4,0.06,0,Top,SS39ET,SOT95P280X140-3N,C41364879
U$5,25.4,0.06,0,Top,SS39ET,SOT95P280X140-3N,C41364879
