name,category,majorcategory,is_movie,caption,pretty_name,path
Exploring the Depths,extras,Water,Yes,/shared/sos/media/extras/exploring_the_depths/exploring_the_depths.en_US.srt,,/shared/sos/media/extras/exploring_the_depths/playlist.sos
Aquaculture,extras,Water,Yes,/shared/sos/media/extras/aquaculture/aquaculture.en_US.srt,,/shared/sos/media/extras/aquaculture/playlist.sos
Hot Air: Atmosphere and Climate Change,extras,Air,Yes,/shared/sos/media/extras/hot-air/hot-air.en_US.srt,,/shared/sos/media/extras/hot-air/playlist.sos
Dengue Fever - 2010,extras,People,No,,,/shared/sos/media/extras/dengue/playlist.sos
Globe Schools,extras,,No,,,/shared/sos/media/extras/globe_schools/playlist.sos
Fireworks,extras,Extras,Yes,,,/shared/sos/media/extras/fireworks/playlist.sos
Fractals: Mandelbrot,extras,Extras,Yes,,,/shared/sos/media/extras/fractals/mandelbrot/playlist.sos
Fractals: Morphing (Archived 5/23/2023),extras,Extras,Yes,,,/shared/sos/media/extras/fractals/morphing/playlist.sos
Fractals: Circular Julia (Archived 5/23/2023),extras,Extras,Yes,,,/shared/sos/media/extras/fractals/circular/playlist.sos
Fractals: Random (No longer supported by SOS - Retired 4/25/2023),extras,Extras,Yes,,,/shared/sos/media/extras/fractals/random/playlist.sos
Space Geodesy: Charting the Size and Shape of the Earth,extras,"Space, People",Yes,/shared/sos/media/extras/geodesy/geodesy.en_US.srt,,/shared/sos/media/extras/geodesy/playlist.sos
The Story of El Nino,extras,Water,Yes,/shared/sos/media/extras/elnino_aop/elnino_aop.en_US.srt,,/shared/sos/media/extras/elnino_aop/playlist.sos
Our Instrumented Earth,extras,"Water, Air, Space",Yes,/shared/sos/media/extras/instrumented_earth/instrumented_earth.en_US.srt,,/shared/sos/media/extras/instrumented_earth/playlist.sos
Accessibility to Cities,,,No,,,/shared/sos/media/extras/access-to-cities/playlist.sos
SOON It Would Be Too Hot,extras,Air,Yes,,,/shared/sos/media/extras/soon_too_hot/playlist.sos
Enceladus (Saturn moon) with extremophiles,extras,,No,,,/shared/sos/media/extras/earth_evolution/extremophiles/playlist.sos
Marine debris: Introduction to Marine Debris in the Global Ocean,extras,Water,Yes,/shared/sos/media/extras/marine_debris_program/intro/marine_debris_intro.en_US.srt,,/shared/sos/media/extras/marine_debris_program/intro/playlist.sos
Marine Debris: Global Marine Debris Model,extras,Water,Yes,/shared/sos/media/extras/marine_debris_program/model/marine_debris-model.en_US.srt,,/shared/sos/media/extras/marine_debris_program/model/playlist.sos
Deep-Sea Vents: Smoke and Fire Underwater,extras,Water,Yes,/shared/sos/media/extras/vent_SFU/vent_SFU.en_US.srt,,/shared/sos/media/extras/vent_SFU/playlist.sos
Marine Debris,extras,Water,Yes,/shared/sos/media/extras/marine_debris/marine_debris.en_US.srt,,/shared/sos/media/extras/marine_debris/playlist.sos
CREATE Resilience: Building a Resilient Community,extras,People,Yes,/shared/sos/media/extras/resilient_community_movie/resilient_community.en_US.srt,,/shared/sos/media/extras/resilient_community_movie/playlist.sos
The World's Water,extras,Water,Yes,/shared/sos/media/extras/worlds_water/worlds_water.en_US.srt,,/shared/sos/media/extras/worlds_water/playlist.sos
COP15 Intro,extras,"Water, Extras, Air, People",Yes,,,/shared/sos/media/extras/cop15_greeting/playlist.sos
Hula - from Imiloa,extras,,Yes,,,/shared/sos/media/extras/imiloa/hula/playlist.sos
Hokulea - from Imiloa,extras,,Yes,,,/shared/sos/media/extras/imiloa/hokulea/playlist.sos
Mars - Landscape of Extremes,extras,Space,Yes,/shared/sos/media/extras/imiloa/mars/mars.en_US.srt,,/shared/sos/media/extras/imiloa/mars/playlist.sos
Evolution of the Moon,extras,Space,Yes,/shared/sos/media/extras/lro_evolution_moon/lro_evolution_moon.en_US.srt,,/shared/sos/media/extras/lro_evolution_moon/playlist.sos
Forecast: Tropical Cyclones,extras,Air,Yes,/shared/sos/media/extras/forecast_amnh/forecast_amnh.en_US.srt,,/shared/sos/media/extras/forecast_amnh/playlist.sos
Frozen,extras,Snow and Ice,Yes,/shared/sos/media/extras/frozen/frozen.en_US.srt,,/shared/sos/media/extras/frozen/playlist.sos
HOLOSCENES / Little Boxes,extras,"Air, Water",Yes,/shared/sos/media/extras/little_boxes/little_boxes.en_US.srt,,/shared/sos/media/extras/little_boxes/playlist.sos
The Next Step,extras,Space,Yes,/shared/sos/media/extras/next_step/next_step.en_US.srt,,/shared/sos/media/extras/next_step/playlist.sos
SOS Coordinate System over Earth Background,extras,Extras,No,,,/shared/sos/media/extras/alignment/sos_coordinates/playlist.sos
A Global Tour of Precipitation,extras,"Air, Water, Snow and Ice",Yes,/shared/sos/media/extras/precip_tour/precip_tour.en_US.srt,,/shared/sos/media/extras/precip_tour/playlist.sos
Water Falls,extras,"Water, Air",Yes,/shared/sos/media/extras/waterfalls/waterfall.en_US.srt,,/shared/sos/media/extras/waterfalls/playlist.sos
Deep-Sea Vents: Life Without Sunlight,extras,Water,Yes,/shared/sos/media/extras/vent_LWS/vent_LWS.en_US.srt,,/shared/sos/media/extras/vent_LWS/playlist.sos
Rising Sea,extras,Water,Yes,/shared/sos/media/extras/aop_sea_level_rise/aop_sea_level_rise.en_US.srt,,/shared/sos/media/extras/aop_sea_level_rise/playlist.sos
Meander,extras,Land,Yes,/shared/sos/media/extras/meander_rivers/meander_rivers.en_US.srt,,/shared/sos/media/extras/meander_rivers/playlist.sos
Flu Virus Model: H1N1 - 2009,extras,People,Yes,,,/shared/sos/media/extras/epidemic/playlist.sos
A Working Waterfront: Seaports of San Pedro Bay,extras,"Water, People",Yes,/shared/sos/media/extras/aop_ports/aop_ports.en_US.srt,,/shared/sos/media/extras/aop_ports/playlist.sos
SOS Locations,extras,Extras,No,,,/shared/sos/media/extras/sos_locations/playlist.sos
2 Billion More Coming to Dinner,extras,Land,Yes,/shared/sos/media/extras/smm_ag/smm_ag.en_US.srt,,/shared/sos/media/extras/smm_ag/playlist.sos
Olympics: Summer Medal Winners - 1896 - 2012,Extras,People,No,,,/shared/sos/media/extras/olympics/summer_olympics/playlist.sos
Winter Olympics: Medal Winners - 1924 - 2014,extras,People,No,,,/shared/sos/media/extras/olympics/medal_winners/playlist.sos
Mapping the Winter Olympics 1924 - 2014,extras,,No,,,/shared/sos/media/extras/olympics/playlist.sos
Mapping the Winter Olympics - 2014 Overview,extras,,Yes,,,/shared/sos/media/extras/olympics/overview/playlist.sos
Urban Ocean,extras,Water,Yes,/shared/sos/media/extras/urban_ocean/urban_ocean.en_US.srt,,/shared/sos/media/extras/urban_ocean/playlist.sos
"Earth, our Goldilocks Planet",extras,Space,Yes,/shared/sos/media/extras/goldilocks/goldilocks.en_US.srt,,/shared/sos/media/extras/goldilocks/playlist.sos
Energy Planet,extras,People,Yes,/shared/sos/media/extras/energy_planet/energy_planet.en_US.srt,,/shared/sos/media/extras/energy_planet/playlist.sos
The Next Generation of NOAA,extras,,Yes,,,/shared/sos/media/extras/ngsp/playlist.sos
NOAA Logo,extras,Extras,No,,,/shared/sos/media/extras/noaa_logo/playlist.sos
Our Pale Blue Dot,extras,"Space, People",Yes,/shared/sos/media/extras/pale_blue_dot/pale_blue_dot.en_US.srt,,/shared/sos/media/extras/pale_blue_dot/playlist.sos
Mount Everest Panorama (Archived 5/23/2023),extras,Land,No,,,/shared/sos/media/extras/everest/playlist.sos
Population Density - 2016,extras,People,No,,,/shared/sos/media/extras/population_density/playlist.sos
The Wanderers Title banner,extras,,No,,,/shared/sos/media/extras/wanderers/Title/playlist.sos
The Wanderers,extras,Space,Yes,/shared/sos/media/extras/wanderers/wanderers.en_US.srt,,/shared/sos/media/extras/wanderers/playlist.sos
Return to the Moon,extras,Space,Yes,/shared/sos/media/extras/rttm/rttm.en_US.srt,,/shared/sos/media/extras/rttm/playlist.sos
Orphan Orca - Saving Springer (Archived 5/23/2023),extras,Water,No,,,/shared/sos/media/extras/noaa_springer/playlist.sos
Fukushima and Our Radioactive Ocean,,Water,Yes,/shared/sos/media/extras/fukushima_aop/fukushima_aop.en_US.srt,,/shared/sos/media/extras/fukushima_aop/playlist.sos
Titan Tours,extras,Space,Yes,/shared/sos/media/extras/titan_tours/titan_tours.en_US.srt,,/shared/sos/media/extras/titan_tours/playlist.sos
"Changing Climate, Changing Ocean",extras,"Water, Air",Yes,/shared/sos/media/extras/changing_climate/changing_climate.en_US.srt,,/shared/sos/media/extras/changing_climate/playlist.sos
EarthNow: What does fracking mean to you?,extras,"Land, People",Yes,/shared/sos/media/extras/earthnow/fracking/fracking.en_US.srt,,/shared/sos/media/extras/earthnow/fracking/playlist.sos
EarthNow: Effects of El Nino and La Nina on Phytoplankton and Fish,extras,Water,Yes,/shared/sos/media/extras/earthnow/elnino_fish/elnino_fish.en_US.srt,,/shared/sos/media/extras/earthnow/elnino_fish/playlist.sos
EarthNow: Extreme Weather and Climate Change,extras,Air,Yes,/shared/sos/media/extras/earthnow/weather_climate/weather_climate.en_US.srt,,/shared/sos/media/extras/earthnow/weather_climate/playlist.sos
