Dataset Name (Auto),Spanish Title,English Title,Slide #,Major Categories
Nature's Harmonious Relationships,Las relaciones armoniosas de la naturaleza,Nature's Harmonious Relationships,6,
We Are All Related,Toda la vida est interconectada,We Are All Related,4,
Biosphere: Marine Chlorophyll Concentration and Land Vegetation,,Biosphere: Marine Chlorophyll Concentration and Land Vegetation,8,
Clouds - Real-time,,Clouds - Real-time,8,
GFS Forecast Model: Precipitation - Real-time,,GFS Forecast Model: Precipitation - Real-time,8,
Drought Risk - Real-time ,,Drought Risk - Real-time ,8,
Fires - Real-time,,Fires - Real-time,8,
Temperature Anomaly: Monthly (NOAA) - 1880-2016,,Temperature Anomaly,8,
Credits: Nature's Harmonious Relationships,,Credits: Nature's Harmonious Relationships,5,
Credits: We Are All Related,,Credits: We Are All Related,3,
