Dataset Name (Auto),Spanish Title,English Title,Slide #,Major Categories
Nature's Harmonious Relationships,Las relaciones armoniosas de la naturaleza,Nature's Harmonious Relationships,8,
We Are All Related,Toda la vida est interconectada,We Are All Related,5,
Biosphere: Marine Chlorophyll Concentration and Land Vegetation,La vida vegetal en la tierra y en el océano,Plant life on the Land and in the Ocean,10,
Clouds - Real-time,Nubes en movimiento,Clouds on the Move,10,
GFS Forecast Model: Precipitation - Real-time,Pronóstico de precipitación,Precipitation Forecase,10,
Drought Risk - Real-time ,Riesgo de sequía,Drought Risk,10,
Fires - Real-time,Incendios durante el último año,Fires over the Last Year,10,
Temperature Anomaly: Monthly (NOAA) - 1880-2016,Cambios de temperatura desde 1850 hasta la actualidad,Changing Temperatures from 1850 to Now,10,
Credits: Nature's Harmonious Relationships,,,7,
Credits: We Are All Related,,,4,
Tagged CO2,Fuentes y sumideros de dióxido de carbono,Carbon Dioxide Sources and Sinks,10,
Ocean Currents -Temperature,Corrientes oceánicas y calor,Ocean Currents and Heat,10,
