Designator,Mid X,Mid Y,Rotation,Layer
LED1,0,-41.02,0,Top
LED10,12.7,38.99,162,Top
LED11,0,41.02,180,Top
LED12,-12.7,38.99,198,Top
LED13,-24.13,33.15,215,Top
LED14,-33.15,24.13,234,Top
LED15,-38.99,12.7,252,Top
LED16,-41.02,0,270,Top
LED17,-38.99,-12.7,288,Top
LED18,-33.27,-24.13,305.5,Top
LED19,-24.13,-33.15,324.4,Top
LED2,12.7,-38.99,18,Top
LED20,-12.7,-38.99,343,Top
LED3,24.13,-33.15,37,Top
LED4,33.15,-24.13,54,Top
LED5,38.99,-12.7,73,Top
LED6,41.02,0,90,Top
LED7,38.99,12.7,109,Top
LED8,33.15,24.13,127,Top
LED9,24,33.15,145,Top
