Designator,Mid X,Mid Y,Rotation,Layer
LED1,-21.59,-21.59,180,Top
LED10,-11.43,-13.97,0,Top
LED11,-19.05,-13.97,0,Top
LED12,-20.32,-5.08,180,Top
LED13,-12.38,-5.08,180,Top
LED14,-4.45,-5.08,180,Top
LED15,3.49,-5.08,180,Top
LED16,11.43,-5.08,180,Top
LED17,13.97,2.54,0,Top
LED18,5.08,2.54,0,Top
LED19,-3.81,2.54,0,Top
LED2,-12.7,-21.59,180,Top
LED20,-12.7,2.54,0,Top
LED21,-21.59,2.54,0,Top
LED22,-2.54,10.16,180,Top
LED23,5.16,10.16,180,Top
LED24,12.85,10.16,180,Top
LED25,16.28,17.78,0,Top
LED26,8.78,17.78,0,Top
LED27,1.27,17.78,0,Top
LED28,-1.27,25.4,180,Top
LED29,6.99,25.4,180,Top
LED3,-3.81,-21.59,180,Top
LED30,15.24,25.4,180,Top
LED31,11.43,31.75,0,Top
LED32,2.54,31.75,0,Top
LED33,-6.35,31.75,0,Top
LED34,11.43,38.1,180,Top
LED35,15.24,44.45,0,Top
LED4,-3.81,-29.21,180,Top
LED5,5.08,-21.59,180,Top
LED6,13.97,-21.59,180,Top
LED7,11.43,-13.97,0,Top
LED8,3.81,-13.97,0,Top
LED9,-3.81,-13.97,0,Top
